"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"22e00a44-917e-4c3f-6d31-b80ed7d9b461","e7b433db-a9e5-fdac-39de-ef9ed993a035","95505811","390000","12580.645161290322","2018-06-08","Epc Domestic","462204.11","14909.81","F","Flat","N","L","D","E09000001","531736.249","181561.631",
"be0c1415-58de-5858-0e6f-ca9a33a7189a","04091765-76f5-d9f8-00d4-9604ab9642d3","200000071885","695000","10530.30303030303","2018-03-09","Epc Domestic","877457.28","13294.81","F","Flat","N","L","E","E09000001","532260.1018339496","182118.04740672195",
"db97b93e-ea17-0bff-dd28-8413a181ad88","3af3215c-7c5b-3ea5-6b24-fa726e85ff86","95511297","352500","5875","2011-07-01","Epc Domestic","783730.03","13062.17","F","Flat","N","L","E","E09000001","533051.982","180771.352",
"93c97c79-04f6-d890-6d7e-bdcd44de88bf","0f8fea0f-7a3d-4de4-843c-bc191d8384c6","","11100000","7198.443579766537","2019-06-12","Epc Non Domestic","13640875.37","8846.22","O","B1 Offices and Workshop businesses","N","F","","E09000001","533429.675","181690.975",
"d3e8c4f1-a66c-08ae-b2fb-29321b420aa2","4cfdfc38-3d58-e16c-bd04-9f73c7c052a6","100020001309","167500","3806.818181818182","2000-06-26","Epc Domestic","789673.51","17947.13","F","House","Y","L","","E09000001","533012.7093333333","180732.99233333333",
"1de25369-6924-c1c3-f550-8573b6a5b3e9","a5ba0124-27f8-ed66-745d-93839851e05b","95505926","370000","7551.0204081632655","2005-09-27","Epc Domestic","1111414.94","22681.94","F","Flat","Y","L","E","E09000001","531736.249","181561.631",
"f313cc3e-dc85-2fbd-398b-2714bae7d34d","3fbb0cb3-0243-638d-a11b-ea106545059d","200000070489","526000","7205.479452054795","2011-11-01","Epc Domestic","1027120.48","14070.14","F","Flat","N","L","F","E09000001","532216.651","180812.792",
"8bdd33af-fe63-d984-732b-6b90ea875bb4","1472b185-b8d4-47f6-35c0-20fe109403be","100020000494","520000","8253.968253968254","2008-12-08","Epc Domestic","1254549.13","19913.48","F","Flat","N","L","G","E09000001","531397.881","181297.224",
"6b48ace6-8b04-a871-cd77-3ed28539d289","773aaa9e-efeb-e25e-bc4f-f9578d35c55a","200000073231","250000","7142.857142857143","2005-12-19","Epc Domestic","687452.82","19641.51","F","Flat","N","L","D","E09000001","532141.566","181939.821",
"4c1cefc9-7b06-34e4-5312-b983e03b88e4","5614e794-72f9-ceb5-6243-26e0ca80ada5","200000072324","60000","1250","1998-03-02","Epc Domestic","358105.72","7460.54","F","Flat","N","L","","E09000001","533535.3705","181405.097",
"4aa57b84-a825-5636-9672-2eb30b38ef18","aa70924f-36b6-5536-39c0-2c7e9916eeeb","95500985","540000","10188.67924528302","2014-03-07","Epc Domestic","771415.25","14555","F","Flat","N","L","E","E09000001","533037.391","180763.834",
"e748c0c3-3b90-93e1-6524-ca7f392dcefb","9daa9cd5-83fc-c75d-cb22-e535b47a461b","200000073803","288000","11076.923076923076","2007-10-19","Epc Domestic","589437.42","22670.67","F","Flat","N","L","C","E09000001","532125.47","181906.986",
"99a0cbd4-34c9-707c-bd16-4b121ccad84d","99d24e6e-898a-c93f-e1af-9c76d8a4ba42","200000072791","870000","12428.57142857143","2018-07-16","Epc Domestic","1005051.97","14357.89","F","Flat","N","L","E","E09000001","532542.227","181717.327",
"206c7373-336d-beb2-8741-96e1700fae7b","86462ce8-63a2-4d54-9235-95c689fa01b3","100022934502","250000","2450.9803921568628","2001-02-16","Epc Domestic","1178650.14","11555.39","F","Flat","N","L","F","E09000001","532216.853","181992.42",
"8f0423c5-0c3e-9e00-4eb8-2366a7be9410","91ecbdb9-fe8b-044a-116c-518d0f0e881b","200000071575","150000","3750","2001-09-06","Epc Domestic","609736.41","15243.41","F","Flat","N","L","C","E09000001","532103.6585","182076.60249999998",
"87bf66bb-23ff-955a-89b3-76f83ebc78de","5ef7748a-0dbb-0dcd-1589-b3fa2c2e8a4f","95505546","880000","9166.666666666666","2021-09-29","Epc Domestic","903503.23","9411.49","F","Flat","N","L","","E09000001","531405.569","180931.619",
