"GEOGRAPHY_CODE"	"RURAL_URBAN"	"CELL"	"OBS_VALUE"
"E02002379"	"0"	"8"	1446
"E02002379"	"0"	"9"	339
"E02002379"	"0"	"10"	228
"E02002379"	"0"	"11"	16
"E02002379"	"0"	"12"	14
"E02002379"	"0"	"13"	0
"E02002380"	"0"	"7"	173
"E02002380"	"0"	"8"	1325
"E02002380"	"0"	"9"	618
"E02002380"	"0"	"10"	239
"E02002380"	"0"	"11"	19
"E02002380"	"0"	"12"	15
"E02002380"	"0"	"13"	0
"E02002381"	"0"	"7"	298
"E02002381"	"0"	"8"	955
"E02002381"	"0"	"9"	1070
"E02002381"	"0"	"10"	590
"E02002381"	"0"	"11"	37
"E02002381"	"0"	"12"	30
"E02002381"	"0"	"13"	2
"E02002382"	"0"	"7"	124
"E02002382"	"0"	"8"	226
"E02002382"	"0"	"9"	1933
"E02002382"	"0"	"10"	82
"E02002382"	"0"	"11"	60
"E02002382"	"0"	"12"	59
"E02002382"	"0"	"13"	1
"E02002383"	"0"	"7"	54
"E02002383"	"0"	"8"	194
"E02002383"	"0"	"9"	1681
"E02002383"	"0"	"10"	304
"E02002383"	"0"	"11"	179
"E02002383"	"0"	"12"	17
"E02002383"	"0"	"13"	2
"E02002384"	"0"	"7"	124
"E02002384"	"0"	"8"	428
"E02002384"	"0"	"9"	981
"E02002384"	"0"	"10"	2755
"E02002384"	"0"	"11"	203
"E02002384"	"0"	"12"	77
"E02002384"	"0"	"13"	1
"E02002385"	"0"	"7"	85
"E02002385"	"0"	"8"	436
"E02002385"	"0"	"9"	2260
"E02002385"	"0"	"10"	526
"E02002385"	"0"	"11"	171
"E02002385"	"0"	"12"	55
"E02002385"	"0"	"13"	15
"E02002386"	"0"	"7"	555
"E02002386"	"0"	"8"	2501
"E02002386"	"0"	"9"	567
"E02002386"	"0"	"10"	188
"E02002386"	"0"	"11"	125
"E02002386"	"0"	"12"	50
"E02002386"	"0"	"13"	0
"E02002387"	"0"	"7"	57
"E02002387"	"0"	"8"	581
"E02002387"	"0"	"9"	1335
"E02002387"	"0"	"10"	440
"E02002387"	"0"	"11"	45
"E02002387"	"0"	"12"	11
"E02002387"	"0"	"13"	0
"E02002388"	"0"	"7"	138
"E02002388"	"0"	"8"	1458
"E02002388"	"0"	"9"	1074
"E02002388"	"0"	"10"	463
"E02002388"	"0"	"11"	113
"E02002388"	"0"	"12"	15
